馬券タイプ,賭ける馬の人気,賭けた回数,当たり回数,収益
三連複,9 - 11 - 13,28741,6,156600
三連単,4 → 3 → 17,3827,1,156000
三連複,3 - 13 - 17,3927,1,153910
三連単,2 → 3 → 10,34012,48,145570
三連単,13 → 3 → 14,24753,1,143990
三連複,8 - 9 - 18,3184,1,138050
三連単,1 → 8 → 18,3100,1,136510
三連単,2 → 17 → 1,3827,1,134270
三連単,4 → 9 → 8,35052,10,133620
三連複,7 - 8 - 14,25668,7,132190
三連単,10 → 16 → 3,16429,1,124100
三連複,2 - 11 - 17,3932,1,113620
三連単,14 → 4 → 2,24773,2,108620
馬単,14 → 17,3922,1,108040
三連単,1 → 7 → 11,32471,24,107780
三連単,9 → 10 → 3,34003,7,106690
馬単,17 → 4,3933,1,106140
三連単,4 → 9 → 11,32464,6,105190
三連単,7 → 2 → 8,35654,19,105030
三連単,5 → 6 → 15,21081,2,100460
三連単,4 → 13 → 3,27771,5,99670
三連単,1 → 5 → 17,3827,1,94010
三連単,10 → 1 → 8,34002,11,92390
三連単,12 → 6 → 5,30502,2,88860
三連単,6 → 11 → 15,21075,1,85250
三連単,14 → 13 → 2,24752,1,81530
三連複,5 - 7 - 17,3932,1,81250
三連単,5 → 1 → 12,30508,14,74700
三連単,9 → 1 → 8,35053,17,69800
三連単,4 → 10 → 13,27763,3,69740
三連単,11 → 7 → 12,30493,1,63880
馬単,17 → 7,3932,1,62480
馬連,5 - 18,3184,2,61820
三連複,3 - 5 - 17,3933,3,58550
三連単,1 → 7 → 18,3099,1,57300
三連単,3 → 2 → 17,3827,1,56840
三連単,2 → 9 → 13,27762,4,55050
三連単,11 → 4 → 2,32473,8,53190
三連単,1 → 3 → 18,3100,1,49750
三連複,4 - 13 - 16,17012,1,49640
三連複,1 - 5 - 18,3184,2,46150
三連複,5 - 6 - 13,28756,14,43430
三連単,9 → 12 → 7,30497,1,43230
三連単,11 → 6 → 2,32468,2,41540
三連単,7 → 11 → 3,32471,5,40620
三連単,8 → 4 → 10,34001,6,35390
三連単,13 → 8 → 5,27758,2,34420
三連単,10 → 2 → 5,34009,15,33420
三連単,2 → 3 → 18,3100,1,31260
三連複,2 - 3 - 17,3933,4,28930
三連単,3 → 10 → 7,34009,15,24210
三連単,5 → 3 → 10,34010,13,22930
三連複,1 - 11 - 17,3932,1,22450
三連単,13 → 10 → 2,27763,2,21710
三連単,7 → 1 → 12,30507,9,19380
三連単,9 → 11 → 7,32461,2,16200
馬単,13 → 17,3927,2,12060
三連単,3 → 13 → 4,27771,4,8420
三連単,3 → 5 → 4,35977,80,6990
三連単,1 → 10 → 11,32464,10,6820
三連単,10 → 12 → 7,30496,2,5740
三連複,7 - 8 - 15,21844,3,450
三連単,7 → 8 → 4,35654,9,300
三連単,3 → 17 → 1,3827,1,-940
三連複,4 - 12 - 14,25663,3,-1510
三連単,2 → 1 → 11,32474,73,-2380
馬単,8 → 13,28753,15,-5250
三連単,9 → 15 → 2,21081,1,-7760
三連単,1 → 11 → 10,32464,11,-8570
三連単,6 → 15 → 2,21082,1,-11430
三連単,6 → 1 → 10,34007,22,-12080
三連単,2 → 4 → 15,21086,6,-14090
